Clock frequency is approx. 1000.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	2768	2778	2720	2709	2664	2634	2618	2570	2545	2529	2495	2153	2333	2249	2201	
64m	2773	2778	2735	2727	2666	2630	2605	2568	2545	2511	2481	2286	2340	2257	2160	
32m	2775	2776	2725	2708	2675	2643	2615	2592	2526	2541	2503	2294	2340	2232	2132	
16m	2782	2794	2736	2730	2666	2649	2619	2558	2613	2596	2567	2453	2508	2351	2384	
8m	2768	2772	2705	2704	2690	2556	2490	2524	2487	2524	2508	2460	2479	2450	2373	
4m	2789	2797	2771	2764	2731	2709	2689	2647	2632	2629	2606	2613	2603	2585	2569	
2m	2810	2837	2774	2762	2730	2706	2689	2646	2630	2630	2607	2615	2612	2594	2573	
1024k	2808	2825	2768	2763	2725	2699	2681	2630	2616	2608	2588	2602	2591	2572	2550	
512k	2863	2857	2836	2826	2812	2800	2783	2755	2752	2741	2717	2703	2696	2683	2672	
256k	2856	2855	2822	2814	2796	2774	2749	2712	2709	2700	2636	2608	2659	2659	2605	
128k	2829	2809	2767	2759	2712	2703	2691	2621	2668	2689	2698	2702	2719	2613	2724	
64k	2860	2849	2804	2789	2759	2759	2707	2621	2648	2579	2648	2521	2520	2614	2497	
32k	2849	2789	2759	2731	2666	2622	2614	2398	2427	2536	2552	2427	2159	2340	2280	
16k	2809	2731	2622	2521	2538	2427	2443	2138	1987	2184	2103	1928	1892	1757	2018	
